"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"368","GO:0004721","phosphoprotein phosphatase activity",163,2,3.58,"0.87699"
"369","GO:0003714","transcription corepressor activity",94,1,2.07,"0.87712"
"370","GO:0019783","ubiquitin-like protein peptidase activity",95,1,2.09,"0.87984"
"371","GO:0016407","acetyltransferase activity",98,1,2.15,"0.88764"
"372","GO:0043022","ribosome binding",98,1,2.15,"0.88764"
"373","GO:0008289","lipid binding",683,11,15.01,"0.89104"
"374","GO:0016853","isomerase activity",171,2,3.76,"0.89324"
"375","GO:0005215","transporter activity",794,13,17.45,"0.89606"
"376","GO:0019902","phosphatase binding",173,2,3.8,"0.89698"
"377","GO:0060090","molecular adaptor activity",478,7,10.51,"0.90533"
"378","GO:0019901","protein kinase binding",539,8,11.85,"0.91062"
"379","GO:0003712","transcription coregulator activity",319,4,7.01,"0.92357"
"380","GO:0004523","RNA-DNA hybrid ribonuclease activity",190,2,4.18,"0.92418"
"381","GO:0000287","magnesium ion binding",200,2,4.4,"0.93686"
"382","GO:0005525","GTP binding",395,5,8.68,"0.93812"
"383","GO:0097367","carbohydrate derivative binding",2822,52,62.03,"0.93835"
"384","GO:0051213","dioxygenase activity",125,1,2.75,"0.93865"
"385","GO:0019904","protein domain specific binding",520,7,11.43,"0.94290"
"386","GO:0019001","guanyl nucleotide binding",412,5,9.06,"0.95120"
"387","GO:0032561","guanyl ribonucleotide binding",412,5,9.06,"0.95120"
"388","GO:0005516","calmodulin binding",214,2,4.7,"0.95128"
"389","GO:0019900","kinase binding",592,8,13.01,"0.95181"
"390","GO:0043021","ribonucleoprotein complex binding",136,1,2.99,"0.95207"
"391","GO:0016891","RNA endonuclease activity, producing 5'-phosphomonoesters",215,2,4.73,"0.95218"
"392","GO:0030695","GTPase regulator activity",424,5,9.32,"0.95887"
"393","GO:0060589","nucleoside-triphosphatase regulator activity",424,5,9.32,"0.95887"
"394","GO:0003924","GTPase activity",298,3,6.55,"0.96157"
"395","GO:0004190","aspartic-type endopeptidase activity",371,4,8.15,"0.96511"
"396","GO:0070001","aspartic-type peptidase activity",373,4,8.2,"0.96618"
"397","GO:0030674","protein-macromolecule adaptor activity",385,4,8.46,"0.97199"
"398","GO:0016893","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",251,2,5.52,"0.97582"
"399","GO:0106310","protein serine kinase activity",590,7,12.97,"0.97707"
"400","GO:0003729","mRNA binding",254,2,5.58,"0.97717"
"401","GO:0140030","modification-dependent protein binding",169,1,3.71,"0.97718"
"402","GO:0004674","protein serine/threonine kinase activity",652,8,14.33,"0.97738"
"403","GO:0016791","phosphatase activity",256,2,5.63,"0.97803"
"404","GO:0008092","cytoskeletal protein binding",788,10,17.32,"0.98165"
"405","GO:0016491","oxidoreductase activity",800,10,17.58,"0.98421"
"406","GO:0004519","endonuclease activity",565,6,12.42,"0.98667"
"407","GO:0004518","nuclease activity",692,8,15.21,"0.98674"
"408","GO:0046914","transition metal ion binding",1223,17,26.88,"0.98747"
"409","GO:0036094","small molecule binding",3061,52,67.28,"0.98838"
"410","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups",200,1,4.4,"0.98865"
"411","GO:0031267","small GTPase binding",294,2,6.46,"0.98952"
"412","GO:0140096","catalytic activity, acting on a protein",2773,46,60.95,"0.98959"
"413","GO:0005085","guanyl-nucleotide exchange factor activity",210,1,4.62,"0.99095"
"414","GO:0003887","DNA-directed DNA polymerase activity",467,4,10.26,"0.99273"
"415","GO:0042578","phosphoric ester hydrolase activity",316,2,6.95,"0.99323"
"416","GO:0051020","GTPase binding",320,2,7.03,"0.99374"
"417","GO:0019899","enzyme binding",1663,23,36.55,"0.99600"
"418","GO:0003676","nucleic acid binding",3007,48,66.09,"0.99666"
"419","GO:0140098","catalytic activity, acting on RNA",598,5,13.14,"0.99732"
"420","GO:0016788","hydrolase activity, acting on ester bonds",1262,15,27.74,"0.99801"
"421","GO:0008270","zinc ion binding",976,10,21.45,"0.99857"
"422","GO:0005543","phospholipid binding",418,2,9.19,"0.99915"
"423","GO:0043168","anion binding",2956,44,64.97,"0.99926"
"424","GO:0016787","hydrolase activity",2869,41,63.06,"0.99966"
"425","GO:1901363","heterocyclic compound binding",5358,90,117.77,"0.99972"
"426","GO:0097159","organic cyclic compound binding",5415,91,119.02,"0.99975"
"427","GO:0016772","transferase activity, transferring phosphorus-containing groups",2100,26,46.16,"0.99983"
"428","GO:0003964","RNA-directed DNA polymerase activity",843,6,18.53,"0.99986"
"429","GO:0140657","ATP-dependent activity",634,3,13.94,"0.99993"
"430","GO:0032559","adenyl ribonucleotide binding",2066,24,45.41,"0.99994"
"431","GO:0005524","ATP binding",2030,23,44.62,"0.99996"
"432","GO:0032555","purine ribonucleotide binding",2403,29,52.82,"0.99997"
"433","GO:0035639","purine ribonucleoside triphosphate binding",2363,28,51.94,"0.99998"
"434","GO:0032553","ribonucleotide binding",2422,29,53.23,"0.99998"
"435","GO:0034061","DNA polymerase activity",944,6,20.75,"0.99998"
"436","GO:0030554","adenyl nucleotide binding",2166,24,47.61,"0.99999"
"437","GO:0017076","purine nucleotide binding",2504,29,55.04,"0.99999"
"438","GO:0017111","ribonucleoside triphosphate phosphatase activity",740,3,16.26,"0.99999"
"439","GO:0003723","RNA binding",1353,10,29.74,"1.00000"
"440","GO:0016779","nucleotidyltransferase activity",1059,6,23.28,"1.00000"
"441","GO:0016462","pyrophosphatase activity",797,3,17.52,"1.00000"
"442","GO:0016817","hydrolase activity, acting on acid anhydrides",797,3,17.52,"1.00000"
"443","GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",797,3,17.52,"1.00000"
"444","GO:0000166","nucleotide binding",2675,29,58.8,"1.00000"
"445","GO:1901265","nucleoside phosphate binding",2676,29,58.82,"1.00000"
"446","GO:0140097","catalytic activity, acting on DNA",1151,6,25.3,"1.00000"
"447","GO:0016740","transferase activity",3441,39,75.63,"1.00000"
"448","GO:0016746","acyltransferase activity",757,1,16.64,"1.00000"
"449","GO:0140640","catalytic activity, acting on a nucleic acid",1537,9,33.78,"1.00000"
"450","GO:0003824","catalytic activity",6857,89,150.71,"1.00000"
"451","GO:0003674","molecular_function",13376,294,294,"1.00000"
